Cruise# ostrich20`1ostrich2014
Date: 05/29/14

CTD probe# 1
DVL# 2
Oxy Probe# 3
Fluorometer# 4
Irradiance Probe# 5
Flight Selection = Depth Undulate 
 
Time	Pressure (dbar)	Depth (m)	Temp (°C)	Salinity (PPT)	Fluoro (volts)	Oxygen (ml/l)	Irrandiance (UE/cm²)	Horizontal vel in water (m/s)	Vertical vel (m/s)	Vol imaged (m3)	Altitude (m)	Pitch (°)	Roll (°)	Heading (°)	Lat (decimals)	Long (decimals)	Rel Normal Velocity (mm/s)	Trans Velocity (mm/s)	Long. Velocity (mm/s)	Normal Velocity (mm/s)	Wing Fin Angle (°)	Roll Fin Angle (°)
12:42:32.78	2.27	2.25	27.40	36.37	0.03	0.8323	6.489125E-3	3416.00	1302.00	0.00	9999.99	-5.61	5.11	280.70	No GPS Data	No GPS Data	-173.00	-173.00	3416.00	1302.00	-21.38	-24.31
12:42:33.18	2.24	2.23	27.41	36.37	0.03	0.8302	1.131180E-2	3416.00	1302.00	0.00	9999.99	-5.61	5.11	280.70	No GPS Data	No GPS Data	-173.00	-173.00	3416.00	1302.00	-19.99	-8.95
12:42:33.72	2.19	2.18	27.41	36.37	0.03	0.8337	2.138087E-2	1083.00	1580.00	0.00	9999.99	-5.66	5.08	283.00	No GPS Data	No GPS Data	329.00	329.00	1083.00	1580.00	-19.99	-8.96
12:42:34.27	2.17	2.16	27.42	36.37	0.03	0.8333	5.015670E-3	1083.00	1580.00	0.00	9999.99	-5.66	5.08	283.00	No GPS Data	No GPS Data	329.00	329.00	1083.00	1580.00	-19.97	-8.96
12:42:34.81	2.17	2.16	27.42	36.37	0.03	0.8325	7.258544E-3	1361.00	1250.00	0.00	9999.99	-8.54	6.88	281.30	No GPS Data	No GPS Data	-620.00	-620.00	1361.00	1250.00	-19.99	-8.96
12:42:35.35	2.17	2.16	27.41	36.37	0.03	0.8334	1.154064E-2	1361.00	1250.00	0.00	9999.99	-8.54	6.88	281.30	No GPS Data	No GPS Data	-620.00	-620.00	1361.00	1250.00	-19.99	-8.95
12:42:35.89	2.15	2.14	27.41	36.37	0.03	0.8325	1.198916E-2	1031.00	1123.00	0.00	139.10	-5.05	4.96	281.40	No GPS Data	No GPS Data	-216.00	-82.00	0.00	5450.00	-20.00	-8.95
12:42:36.43	2.14	2.12	27.44	36.37	0.03	0.8327	6.955295E-3	1031.00	1123.00	0.00	139.10	-5.05	4.96	281.40	No GPS Data	No GPS Data	-216.00	-82.00	0.00	5450.00	-20.00	-8.95
12:42:36.97	2.10	2.09	27.43	36.37	0.03	0.8308	9.928254E-3	1031.00	1123.00	0.00	139.10	-5.05	4.96	281.40	No GPS Data	No GPS Data	-216.00	-82.00	0.00	5450.00	-20.00	-8.96
12:42:37.51	2.12	2.11	27.37	36.37	0.03	0.8308	7.621067E-3	1968.00	733.00	0.00	89.40	-9.32	7.05	281.00	No GPS Data	No GPS Data	1470.00	1470.00	1968.00	733.00	-19.99	-8.96
12:42:38.05	2.13	2.12	27.36	36.37	0.03	0.8352	1.242705E-2	1968.00	733.00	0.00	89.40	-9.32	7.05	281.00	No GPS Data	No GPS Data	1470.00	1470.00	1968.00	733.00	-20.00	-8.96
12:42:38.59	2.13	2.12	27.36	36.37	0.03	0.8333	8.896795E-3	3047.00	1341.00	0.00	9999.99	-5.46	5.12	279.70	No GPS Data	No GPS Data	-1985.00	-1985.00	3047.00	1341.00	-20.01	-8.95
