year,taxa,cell_id,decslat_cell_ctr,decslon_cell_ctr,pop_mean_no_m3,pop_var_no_m3,n_obs
2016,AURELIA,1,29.87248586,-86.75480259,98.96272107,NA,1
2012,AURELIA,2,25.62248586,-82.25480259,0,NA,1
2013,AURELIA,2,25.62248586,-82.25480259,0,NA,1
2014,AURELIA,2,25.62248586,-82.25480259,11.99321334,73.10951055,4
2015,AURELIA,2,25.62248586,-82.25480259,1.234711034,0.550937635,3
2016,AURELIA,2,25.62248586,-82.25480259,0,NA,1
2018,AURELIA,2,25.62248586,-82.25480259,0,NA,2
2012,AURELIA,4,26.37248586,-83.00480259,0,NA,1
2013,AURELIA,4,26.37248586,-83.00480259,0,NA,2
2014,AURELIA,4,26.37248586,-83.00480259,3.013826501,NA,1
2015,AURELIA,4,26.37248586,-83.00480259,0,NA,1
2017,AURELIA,4,26.37248586,-83.00480259,0,NA,1
2013,AURELIA,5,26.12248586,-83.75480259,0,NA,1
2017,AURELIA,5,26.12248586,-83.75480259,0,NA,4
2018,AURELIA,5,26.12248586,-83.75480259,0,NA,1
2012,AURELIA,6,28.37248586,-93.75480259,0,NA,5
2013,AURELIA,6,28.37248586,-93.75480259,7.989937585,NA,1
2014,AURELIA,6,28.37248586,-93.75480259,0,NA,2
2015,AURELIA,6,28.37248586,-93.75480259,0.388138203,0.150651264,4
2016,AURELIA,6,28.37248586,-93.75480259,0.35120247,0.123343175,2
2017,AURELIA,6,28.37248586,-93.75480259,26.12963074,682.7576025,2
2018,AURELIA,6,28.37248586,-93.75480259,0,NA,1
2012,AURELIA,7,27.12248586,-83.25480259,0,NA,2
2014,AURELIA,7,27.12248586,-83.25480259,0,NA,1
2015,AURELIA,7,27.12248586,-83.25480259,0.260014532,0.016906161,3
2016,AURELIA,7,27.12248586,-83.25480259,0,NA,1
2017,AURELIA,7,27.12248586,-83.25480259,0,NA,1
2018,AURELIA,7,27.12248586,-83.25480259,0,NA,2
2012,AURELIA,8,26.12282489,-97.00488977,0,NA,16
2013,AURELIA,8,26.12282489,-97.00488977,0.255698214,0.050223928,18
2014,AURELIA,8,26.12282489,-97.00488977,0.280563215,0.041678873,21
2015,AURELIA,8,26.12282489,-97.00488977,0.229618626,0.052724713,4
2016,AURELIA,8,26.12282489,-97.00488977,0,NA,1
2017,AURELIA,8,26.12282489,-97.00488977,0.623458167,0.388700086,4
2018,AURELIA,8,26.12282489,-97.00488977,0,NA,2
2013,AURELIA,9,26.37248586,-83.75480259,0,NA,2
2014,AURELIA,9,26.37248586,-83.75480259,0.786359435,0.158725203,3
2015,AURELIA,9,26.37248586,-83.75480259,0,NA,2
2017,AURELIA,9,26.37248586,-83.75480259,2.923898577,6.563594612,3
2018,AURELIA,9,26.37248586,-83.75480259,0,NA,1
2012,AURELIA,10,27.87248586,-84.00480259,0,NA,1
2013,AURELIA,10,27.87248586,-84.00480259,0,NA,2
2014,AURELIA,10,27.87248586,-84.00480259,0,NA,2
2015,AURELIA,10,27.87248586,-84.00480259,0,NA,2
2016,AURELIA,10,27.87248586,-84.00480259,0,NA,2
2017,AURELIA,10,27.87248586,-84.00480259,0,NA,2
2012,AURELIA,11,29.87248586,-86.25480259,0,NA,7
2013,AURELIA,11,29.87248586,-86.25480259,0,NA,3
2014,AURELIA,11,29.87248586,-86.25480259,0.340794732,0.11614105,2
2015,AURELIA,11,29.87248586,-86.25480259,3.89921169,13.45315634,3
2016,AURELIA,11,29.87248586,-86.25480259,1.25391362,1.572299366,2
2017,AURELIA,11,29.87248586,-86.25480259,0,NA,3
2018,AURELIA,11,29.87248586,-86.25480259,0.506388193,0.256429002,3
2012,AURELIA,12,28.62248586,-93.50480259,0,NA,1
2013,AURELIA,12,28.62248586,-93.50480259,3.313724508,7.1616418,2
2014,AURELIA,12,28.62248586,-93.50480259,0,NA,3
2015,AURELIA,12,28.62248586,-93.50480259,0,NA,1
2016,AURELIA,12,28.62248586,-93.50480259,0,NA,2
2017,AURELIA,12,28.62248586,-93.50480259,0.583552108,0.340533062,3
2018,AURELIA,12,28.62248586,-93.50480259,0,NA,4
2014,AURELIA,13,25.37017956,-81.26777209,0,NA,1
2013,AURELIA,14,28.62248586,-94.50480259,0.607665831,0.369257762,3
2014,AURELIA,14,28.62248586,-94.50480259,0,NA,1
2015,AURELIA,14,28.62248586,-94.50480259,0,NA,2
2017,AURELIA,14,28.62248586,-94.50480259,0,NA,2
2012,AURELIA,15,28.37248586,-91.75480259,0,NA,3
2013,AURELIA,15,28.37248586,-91.75480259,0.974797271,0.950229719,2
2014,AURELIA,15,28.37248586,-91.75480259,0,NA,1
