Sample ID,Date,Time,Samp Number,Analyte Name,Elem,Int (Corr),RSD (Corr Int),Conc (Calib),Reported Conc (Calib),RSD (Conc),Calib Units,SD (Calib),Repl No1,Conc (Calib)1,Repl No2,Conc (Calib)2,Repl No3,Conc (Calib)3,Repl No4,Conc (Calib)4
Calib Blank 1,9/14/2018,10:43:14 AM,0,Y 371.029,Y,372475.0642,1.671781114, ,[0.00],1.671781114,mg/L,0.01671781114,1, ,2, ,3, ,4, 
Calib Blank 1,9/14/2018,10:43:14 AM,0,Al 396.153,Al,15112.9137,14.54940751, ,[0.00],0,mg/L,0,1, ,2, ,3, ,4, 
Calib Blank 1,9/14/2018,10:43:14 AM,0,Ca 317.933,Ca,18338.26966,9.703931957, ,[0.00],0,mg/L,0,1, ,2, ,3, ,4, 
Calib Blank 1,9/14/2018,10:43:14 AM,0,Cr 267.716,Cr,58.19961406,9.426319715, ,[0.00],0,mg/L,0,1, ,2, ,3, ,4, 
Calib Blank 1,9/14/2018,10:43:14 AM,0,Cu 327.393,Cu,-1024.092181,0.4357451352, ,[0.00],0,mg/L,0,1, ,2, ,3, ,4, 
Calib Blank 1,9/14/2018,10:43:14 AM,0,Fe 238.204,Fe,1070.110465,2.603287274, ,[0.00],0,mg/L,0,1, ,2, ,3, ,4, 
Calib Blank 1,9/14/2018,10:43:14 AM,0,K 766.490,K,43.6005459,189.4671141, ,[0.00],0,mg/L,0,1, ,2, ,3, ,4, 
Calib Blank 1,9/14/2018,10:43:14 AM,0,Mg 285.213,Mg,11684.03492,7.124373312, ,[0.00],0,mg/L,0,1, ,2, ,3, ,4, 
Calib Blank 1,9/14/2018,10:43:14 AM,0,Mn 257.610,Mn,1088.128849,14.0256756, ,[0.00],0,mg/L,0,1, ,2, ,3, ,4, 
Calib Blank 1,9/14/2018,10:43:14 AM,0,Mo 202.031,Mo,28.6660424,12.34588628, ,[0.00],0,mg/L,0,1, ,2, ,3, ,4, 
Calib Blank 1,9/14/2018,10:43:14 AM,0,Na 589.592,Na,490.345822,4.625462263, ,[0.00],0,mg/L,0,1, ,2, ,3, ,4, 
Calib Blank 1,9/14/2018,10:43:14 AM,0,Ni 231.604,Ni,-65.61925711,25.4545114, ,[0.00],0,mg/L,0,1, ,2, ,3, ,4, 
Calib Blank 1,9/14/2018,10:43:14 AM,0,Pb 220.353,Pb,4.738832424,199.3354955, ,[0.00],0,mg/L,0,1, ,2, ,3, ,4, 
Calib Blank 1,9/14/2018,10:43:14 AM,0,Se 196.026,Se,14.56507255,15.17427272, ,[0.00],0,mg/L,0,1, ,2, ,3, ,4, 
Calib Blank 1,9/14/2018,10:43:14 AM,0,Si 251.611,Si,1377.41875,0.9380507663, ,[0.00],0,mg/L,0,1, ,2, ,3, ,4, 
Calib Blank 1,9/14/2018,10:43:14 AM,0,Zn 206.200,Zn,227.9160755,8.916400383, ,[0.00],0,mg/L,0,1, ,2, ,3, ,4, 
Calib Blank 1,9/14/2018,10:43:14 AM,0,P 213.617,P,54.47173708,17.2142473, ,[0.00],0,mg/L,0,1, ,2, ,3, ,4, 
ULL-STD-50,9/14/2018,10:45:12 AM,0,Y 371.029,Y,358768.2641,1.238537604, ,0.963,1.238537605,mg/L,0.01192960359,1, ,2, ,3, ,4, 
ULL-STD-50,9/14/2018,10:45:12 AM,0,Al 396.153,Al,3197503.001,1.202129192, ,[50],0,mg/L,0,1, ,2, ,3, ,4, 
ULL-STD-50,9/14/2018,10:45:12 AM,0,Ca 317.933,Ca,1589104.693,0.7821273458, ,[50],0,mg/L,0,1, ,2, ,3, ,4, 
ULL-STD-50,9/14/2018,10:45:12 AM,0,Cr 267.716,Cr,1026114.816,0.6930361301, ,[50],0,mg/L,0,1, ,2, ,3, ,4, 
